index,inchikey,smiles,homo,lumo,lumo_calib,homo_calib,PCE,PCE_calib
10,DBVUNUABETWSJB-UHFFFAOYNA-N,CN1C(=O)C(=Cc2ncc(-c3ncc(-c4cc5c(s4)-c4sccc4C54OCCO4)cn3)nn2)C(=O)N(C)C1=O,-5.7416021295,-3.2980303449038,-3.92322767101367,-5.88747234394806,5.29375312334552,7.67811955973013
11,ZMZDYOCYYOCPQZ-UHFFFAOYNA-N,CN1C(=O)C(=Cc2cc3c(s2)-c2sc(-c4cnc(-c5cncnn5)nc4)cc2C32OCCO2)C(=O)N(C)C1=O,-6.01900515283358,-3.4558458315,-4.08052504683622,-6.17754905680128,3.80667321840577,5.42057878632866
12,GAJIUNNUKWXNSU-PKRZOPRNNA-N,CN1C(=O)C(=Cc2ccnc(-c3ccnc(-c4cscc4C(=O)O)n3)n2)C(=O)N(C)C1=O,-6.79613590526839,-3.0909533345553,-3.56155632188834,-6.84460984877647,0.152012962015327,0.565645123424732
13,LKUSKODHSGQUFE-PKRZOPRNNA-N,CN1C(=O)C(=Cc2scc(-c3nccc(-c4ncccn4)n3)c2C(=O)O)C(=O)N(C)C1=O,-6.5351985789096,-2.96603164783612,-3.61220876604049,-6.66306059572138,0.304063103504808,1.01554726602466
14,VXJCKDMUFHMFQQ-UHFFFAOYNA-N,CN1C(=O)C(=Cc2ccnc(-c3ncc([SiH]4C=C5OCCOC5=C4)cn3)n2)C(=O)N(C)C1=O,-5.99123572785623,-3.29149867469214,-3.87379582712048,-6.0375037305022,3.08726670256617,5.87054552229326
15,RYYCXNRFBQSJQA-NSJMMFDCNA-N,CN1C(=O)C(=Cc2c(F)c(F)c(-c3c(C(=O)O)sc4ccc(C#N)cc34)c(F)c2F)C(=O)N(C)C1=O,-6.97868764238856,-3.33057037644589,-3.71417454271095,-7.04168931464394,0.177983111482205,0.451979157254946
16,TUMBGGISDAJSHZ-PKRZOPRNNA-N,CN1C(=O)C(=Cc2onc(-c3cnc(-c4scc5c4SCCS5)nc3)c2C(=O)O)C(=O)N(C)C1=O,-5.75125836773905,-3.61078299751261,-4.09437157953541,-5.82503052303248,7.38981849750017,9.21211577820767
17,ZPKIOEQUJLWRJU-PKRZOPRNNA-N,CN1C(=O)C(=Cc2sc(-c3ncc(-c4nocc4C(=O)O)cn3)c3c2SCCS3)C(=O)N(C)C1=O,-5.8504476675,-3.07379475819107,-3.5055791663726,-5.96279965426854,2.8334373553074,4.55411790602663
18,NIMQOFBHYXNXIH-ZYMSVLFVNA-N,CN1C(=O)C(=Cc2noc(-c3ncnc(-c4cc5c(s4)-c4sccc4C54OCCO4)n3)c2C(=O)O)C(=O)N(C)C1=O,-5.87694918545894,-3.12241848060446,-3.6334621972285,-6.00999125824136,2.95074327360354,4.85148088966037
19,PEFDQBRXWQENBN-ZYMSVLFVNA-N,CN1C(=O)C(=Cc2cc3c(s2)-c2sc(-c4ncnc(-c5oncc5C(=O)O)n4)cc2C32OCCO2)C(=O)N(C)C1=O,-6.04821455745305,-3.43034016839302,-3.89218965584238,-6.16912512701514,3.42976141744364,4.77039313291478
20,IQNIZPFYLSKZCF-UHFFFAOYNA-N,CN1C(=O)C(=Cc2sc(C#N)c(-c3cnc(-c4sc(C#N)cc4C#N)nc3)c2C#N)C(=O)N(C)C1=O,-7.2654396615,-4.14776931874156,-4.67268198004595,-7.37912613964386,0.517169059146384,0.719207506516501
21,APCTXUDKFIXGIA-UHFFFAOYNA-N,CN1C(=O)C(=Cc2c(C#N)sc(-c3ncc(-c4c(C#N)csc4C#N)cn3)c2C#N)C(=O)N(C)C1=O,-7.2620089098524,-3.59112905600944,-4.05260169607997,-7.33453698845987,0.135557759956228,0.385100703603855
22,YCCUUMDIXJUKGH-UHFFFAOYNA-N,CN1C(=O)C(=Cc2sc(C#N)c(-c3cnc(C=Cc4ccncn4)nc3)c2C#N)C(=O)N(C)C1=O,-6.8844802785,-3.98032766862072,-4.37689263599759,-6.97193041224126,1.14676460442086,1.55982603889917
23,MXFSRJSAZGUGOU-UHFFFAOYNA-N,CN1C(=O)C(=Cc2nccc(C=Cc3ncc(-c4c(C#N)csc4C#N)cn3)n2)C(=O)N(C)C1=O,-6.8986474293957,-3.17963707977661,-3.64476666256274,-7.0120319976338,0.131137320725534,0.417213376160241
24,NCCDTDACJNLWOC-UHFFFAOYNA-N,CN1C(=O)C(=Cc2ncc(-c3c(C4=CC(=C(C#N)C#N)C=CS4)sc4ccc(C#N)cc34)nn2)C(=O)N(C)C1=O,-6.61157957658467,-3.61937539363162,-4.15618528090764,-6.68282419330243,1.20547135147765,2.34893131735971
25,WUSVEQPDJVDYHQ-UHFFFAOYNA-N,CN1C(=O)C(=CC2=CC(=C(C#N)C#N)C=C(c3sc4ccc(C#N)cc4c3-c3cncnn3)S2)C(=O)N(C)C1=O,-6.63345583288571,-4.18438701879854,-4.68039387270741,-6.69860935708737,2.66553391066691,2.5218315570772
26,KCXVILIXFOCSKF-UHFFFAOYNA-N,Cc1nc2c(C=C3C(=O)N(C)C(=O)N(C)C3=O)sc(-c3ccc(C(=O)c4cocc4C#N)s3)c2nc1C,-6.08003022109511,-3.68542838509511,-4.26532471552387,-6.12120011598831,4.53025481711746,6.40716629039895
27,GJUXZZKKDYOVST-UHFFFAOYNA-N,CN1C(=O)C(=Cc2c(C#N)sc(-c3ncnc(C=Cc4ccncn4)n3)c2C#N)C(=O)N(C)C1=O,-7.30373625797186,-3.65954263177027,-4.0501181236591,-7.36136457412423,0.149076834096034,0.353773039510583
28,SLEBFOSLFDCOSI-UHFFFAOYNA-N,CN1C(=O)C(=Cc2nccc(C=Cc3ncnc(-c4sc(C#N)cc4C#N)n3)n2)C(=O)N(C)C1=O,-7.27597473375404,-3.56989973395589,-4.10748255916166,-7.40046212205065,0.115773853152544,0.354847659444584
29,LFGNGJPRVUDXFM-UHFFFAOYNA-N,CN1C(=O)C(=Cc2cc(F)c(-c3ccnc(C4=CC(=C(C#N)C#N)C=CS4)n3)c3nsnc23)C(=O)N(C)C1=O,-6.14989041729295,-3.96329395460573,-4.41828684878578,-6.22298033365553,5.24432301047484,5.64201502178176
30,LFVZWPPLDVYKBO-UHFFFAOYNA-N,CN1C(=O)C(=CC2=CC(=C(C#N)C#N)C=C(c3nccc(-c4c(F)ccc5nsnc45)n3)S2)C(=O)N(C)C1=O,-6.17151965975804,-3.80959383,-4.15324709433955,-6.19571602685795,4.37565994449293,5.48793745777798
31,MXQMRDXEMNEJBS-UHFFFAOYNA-N,CN1C(=O)C(=Cc2sc(C#N)c(-c3nccc(C4=CC(=C(C#N)C#N)C=CS4)n3)c2C#N)C(=O)N(C)C1=O,-6.52927462503745,-3.70309847181609,-4.25764176196657,-6.56999061712601,1.72010486809594,3.13770084137883
32,OCLLJIMDORNTMT-UHFFFAOYNA-N,CN1C(=O)C(=CC2=CC(=C(C#N)C#N)C=C(c3ccnc(-c4c(C#N)csc4C#N)n3)S2)C(=O)N(C)C1=O,-6.476309511,-4.081707675,-4.50169293657731,-6.52250058928404,3.26114539692297,3.57774301192735
33,ONAXDLZWGJMMOA-UHFFFAOYNA-N,CN1C(=O)C(=Cc2ccnc(-c3ncc(C(F)(F)F)cn3)n2)C(=O)N(C)C1=O,-7.04832398145588,-3.50919043913274,-3.9774848185385,-7.05210003135782,0.254589644363196,0.713264078117968
34,AFZAPXXEZGGAKM-UHFFFAOYNA-N,CN1C(=O)C(=Cc2ccc(C(=O)c3ccoc3-c3ccnc(C4=CC(=C(C#N)C#N)C=CS4)n3)s2)C(=O)N(C)C1=O,-6.18548058712394,-3.54816874651665,-4.22733917992339,-6.23208938680132,3.07001400829401,5.35073389844199
35,PTFARUBOZIEBRE-UHFFFAOYNA-N,CN1C(=O)C(=CC2=CC(=C(C#N)C#N)C=C(c3nccc(-c4occc4C(=O)c4cccs4)n3)S2)C(=O)N(C)C1=O,-6.15783256753813,-3.83914550739992,-4.36413455097968,-6.24063143499895,4.62413185283727,5.46120380525306
36,JKBZWNDYSHRXPA-UHFFFAOYNA-N,CN1C(=O)C(=Cc2ncnc(C3=CC=CC4N=C(F)C(F)=NC34)n2)C(=O)N(C)C1=O,-6.75271517457793,-3.01582600848586,-3.60217980292221,-6.82801030272512,0.127082370477055,0.632172905664798
37,UNSJJDBAWCOAHC-UHFFFAOYNA-N,CN1C(=O)C(=CC2=CC=C(c3ncncn3)C3N=C(F)C(F)=NC23)C(=O)N(C)C1=O,-6.7756347405,-3.7302122802504,-4.25203866340159,-6.81803366761744,0.956429253114634,1.96326583730139
38,QUTDEXYOIIAUNH-UHFFFAOYNA-N,CN1C(=O)C(=Cc2cc(F)c(-c3ncc(C4=CC(=C(C#N)C#N)C=CS4)cn3)c3nsnc23)C(=O)N(C)C1=O,-6.476309511,-3.6780241705624,-4.0519242463331,-6.52248123865004,1.89737675936958,2.91173828924371
39,DTXBMQAUNKTPHI-UHFFFAOYNA-N,CN1C(=O)C(=CC2=CC(=C(C#N)C#N)C=C(c3cnc(-c4c(F)ccc5nsnc45)nc3)S2)C(=O)N(C)C1=O,-6.45533767420092,-4.081707675,-4.3806912209913,-6.47939038553589,3.3962512581846,3.80355947676256
40,FBWCCWXTUFMARC-YLHGWYNBNA-N,CN1C(=O)C(=Cc2noc(-c3sc4ccc(C#N)cc4c3C3=CC(=C(C#N)C#N)C=CS3)c2C(=O)O)C(=O)N(C)C1=O,-6.61978301568895,-3.28932122500703,-3.75067344130549,-6.67899914968483,0.58329259959907,1.31050747731261
41,SKMLXNZHMSEPFT-YLHGWYNBNA-N,CN1C(=O)C(=CC2=CC(=C(C#N)C#N)C=C(c3c(-c4oncc4C(=O)O)sc4ccc(C#N)cc34)S2)C(=O)N(C)C1=O,-6.61472167112051,-3.9584639047996,-4.33935516546285,-6.70021218022955,2.14610644990822,2.60047112494525
42,OQGAICQMTALZAO-UHFFFAOYNA-N,C=Cc1ccnc(-c2sc3ccc(C#N)cc3c2-c2nc3ccc(C=C4C(=O)N(C)C(=O)N(C)C4=O)cc3o2)n1,-6.44275642186375,-3.15200245666503,-3.61201223879757,-6.52519951406495,0.696453624303413,1.49820321776772
43,NXGUUEZIKKSGQE-UHFFFAOYNA-N,CN1C(=O)C(=CC=Cc2ccnc(-c3sc4ccc(C#N)cc4c3-c3nc4ccccc4o3)n2)C(=O)N(C)C1=O,-6.346970573856,-3.68364117405715,-4.06388818071685,-6.42726135475967,2.62829050265311,3.51336896169131
44,WQNHNIJNVBWCNX-UHFFFAOYNA-N,CN1C(=O)C(=CC=Cc2ccnc(-c3cocc3C(=O)c3ccc(-c4ncccn4)s3)n2)C(=O)N(C)C1=O,-6.41916517548665,-3.49142565508556,-3.98606121741991,-6.51479559852617,1.56229690525263,2.77232982183219
45,XPNWVPFKWTZVGU-UHFFFAOYNA-N,C=Cc1ccnc(-c2cocc2C(=O)c2ccc(-c3nccc(C=C4C(=O)N(C)C(=O)N(C)C4=O)n3)s2)n1,-6.42353818541166,-3.46187819256446,-3.94388910733082,-6.4909781699373,1.44764680599658,2.75966234223221
46,HMFXQILOHVXDAX-UHFFFAOYNA-N,N#Cc1ccc2sc(-c3scc4c3SCCO4)c(-c3c(F)c(F)cc4nsnc34)c2c1,-5.93109683380194,-2.89705235333494,-3.11314255256774,-6.11861552273503,1.57466831337899,1.55050113432838
47,YHCXNIQJQYDZOF-UHFFFAOYNA-N,CN1C(=O)C(=C[Si]2(c3nccc(-c4ccsc4C(=O)c4ccoc4)n3)C=C3OCCOC3=C2)C(=O)N(C)C1=O,-5.56951201603046,-2.49283313938467,-2.98437635989913,-5.62908015019846,0,0
48,PHVSGTOOUYXAFH-UHFFFAOYNA-N,CN1C(=O)C(=Cc2cocc2C(=O)c2sccc2-c2ccnc([SiH]3C=C4OCCOC4=C3)n2)C(=O)N(C)C1=O,-5.6222309479007,-2.79410088520084,-3.37366929036144,-5.7254306223722,0,5.99107919038051
49,WPJXUNMOIAAHOL-UHFFFAOYNA-N,N#Cc1sc(-c2ccnc(-c3cc4cc5c(F)c(F)sc5nc4s3)n2)c(C#N)c1C1COc2nsnc2O1,-6.30535634713768,-3.69939917441092,-4.01093566731321,-6.51304619702988,2.94921722678692,2.8539983252886
50,LXJUMQDAJXBBDM-UHFFFAOYNA-N,CN1C(=O)C(=Cc2cc3c(s2)-c2sc(-c4ccnc(-c5ncccn5)n4)cc2C3=C(C#N)C#N)C(=O)N(C)C1=O,-6.3402525885,-4.081707675,-4.69025679859969,-6.43423637825236,4.13819313382238,3.67730940357625
51,RIPRETHRDKBKBS-UHFFFAOYNA-N,CN1C(=O)C(=Cc2ccnc(-c3nccc(-c4cc5c(s4)-c4sccc4C5=C(C#N)C#N)n3)n2)C(=O)N(C)C1=O,-6.19777215228181,-3.80958028371115,-4.31597411218015,-6.27849461985556,4.19830249347204,5.1155557930138
52,OVXYZCWUOSIUDK-PKRZOPRNNA-N,CN1C(=O)C(=Cc2sc(-c3ccnc(-c4cscc4C(=O)O)n3)c3c2OCCS3)C(=O)N(C)C1=O,-6.26018687731918,-3.15782178208562,-3.7499819787713,-6.3619295979416,1.10975619900741,2.80792062465605
53,AAPJAERXLBEHDH-PKRZOPRNNA-N,CN1C(=O)C(=Cc2scc(-c3nccc(-c4scc5c4SCCO5)n3)c2C(=O)O)C(=O)N(C)C1=O,-6.44433974784379,-2.86113096310928,-3.43222799537006,-6.55592999212228,0.30609974407933,0.891459714185773
54,BEWQNPZMCNXGNO-UHFFFAOYNA-N,CN1C(=O)C(=CC2=CC(=C(C#N)C#N)C=C(c3cocc3C(=O)c3ccc(-c4ccncn4)s3)S2)C(=O)N(C)C1=O,-6.22999937314787,-3.88950985263059,-4.41836026356928,-6.30624990112838,4.26955107573312,4.9747361102648
55,XPZCRNKUSITXRW-UHFFFAOYNA-N,CN1C(=O)C(=Cc2nccc(-c3ccc(C(=O)c4cocc4C4=CC(=C(C#N)C#N)C=CS4)s3)n2)C(=O)N(C)C1=O,-6.15517052631358,-3.18494427398442,-3.74696149950577,-6.20636715379784,1.6595702492204,3.86466153269303
56,XDBKHVVQZHZYQI-UHFFFAOYNA-N,O=C(c1ccoc1)c1cccs1,-6.75636437797399,-2.09907754650877,-2.52825373353079,-6.85176224273308,0,3.0109125670892E-14
57,JXVUDUOXJBDAFN-UHFFFAOYNA-N,CN1C(=O)C(=Cc2ccsc2C(=O)c2cocc2-c2ccnc(-c3scc4c3SCCO4)n2)C(=O)N(C)C1=O,-5.6407579154092,-3.21849648948148,-3.74268641778739,-5.73384677229506,0,8.48966150981066
58,YXHDZFARJKYKMJ-UHFFFAOYNA-N,CN1C(=O)C(=Cc2sc(-c3nccc(-c4cocc4C(=O)c4cccs4)n3)c3c2OCCS3)C(=O)N(C)C1=O,-5.90248009785468,-2.89195368192971,-3.42037573206832,-6.00264589067168,1.68518493519534,3.75565484134035
59,KNJLHUNPALGDBR-CSKMVECVNA-N,CN1C(=O)C(=Cc2noc(-c3nccc(-c4c5ccsc5nc5sc(F)c(F)c45)n3)c2C(=O)O)C(=O)N(C)C1=O,-6.63478640468048,-3.26390897260698,-3.72558904029267,-6.73741256959353,0.518742570263656,1.04895292508644
60,JLZUZNKTTIRERF-UHFFFAOYNA-N,c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,-5.4694882845,-1.6598944545,-2.10423829498182,-5.57974966684383,0,0
61,YQLSNILDQDVBRL-UHFFFAOYNA-N,Fc1c(F)c(F)c(C=Cc2c(F)c(F)c(F)c(F)c2F)c(F)c1F,-6.66699288528089,-2.69372338271911,-2.93100543355075,-6.7416580313133,0.009912526003176,0.068043658776648
62,BGMYBEZRWKMUNQ-UHFFFAOYNA-N,CN1C(=O)C(=Cc2nc3ccc(-c4cnc(-c5cc6c(s5)-c5sccc5C6=C(C#N)C#N)nc4)cc3o2)C(=O)N(C)C1=O,-6.0681387435,-3.75709981363384,-4.30392849278277,-6.15701618217788,5.00216992533489,6.13678727956337
63,SBBQDUFLZGOASY-FQFUPTBWNA-N,O=C(O)c1ccc(C=Cc2ccc(C(=O)O)cc2)cc1,-6.23141609502297,-2.61228205857243,-2.87879955865731,-6.27917777490544,0.292874817983704,0.568813610811885
64,PQJNPCOVYTXKNE-UHFFFAOYNA-N,CN1C(=O)C(=Cc2sc3ccc(C#N)cc3c2-c2c(F)c(F)cc(F)c2F)C(=O)N(C)C1=O,-6.83334434523589,-3.52969524754527,-3.94373016720141,-6.90107638387473,0.541085531737721,1.04122819416894
65,LNWCKAYLHVSNPO-UHFFFAOYNA-N,CN1C(=O)C(=Cc2c(F)c(F)c(-c3csc4ccc(C#N)cc34)c(F)c2F)C(=O)N(C)C1=O,-6.75245453611226,-3.33514453341543,-3.69045038867872,-6.8111291922525,0.425635763597149,0.758468786320898
66,HQJKKQRACJVDJW-VJSLDGLSNA-N,CN1C(=O)C(=Cc2noc(-c3sc4ccc(C#N)cc4c3C(F)(F)F)c2C(=O)O)C(=O)N(C)C1=O,-7.292651046,-3.28275837941915,-3.81455554362941,-7.39458182563653,0.003170702967617,0.17574686711898
67,RQGXYFNDCWYBNG-SPEPDGBUNA-N,O=C1Nc2ccccc2C1=c1ccc(=c2ccc(=C3C(=O)Nc4ccccc43)s2)s1,-5.1973744395,-3.49997295605678,-3.7842319521384,-5.24239306742832,0,0
68,RNIZPDIBRXCMRD-UHFFFAOYNA-N,N#Cc1ccc(C=Cc2ccc(C#N)cc2)cc1,-6.55795376531512,-2.96602676935883,-3.22986843926434,-6.60837582092462,0.279613611986211,0.51192125985505
69,PUOYDYZBOVNFOH-UHFFFAOYNA-N,CN1C(=O)C(=Cc2ccc3nc(-c4ncnc(-c5c(F)c(F)cc6nsnc56)n4)oc3c2)C(=O)N(C)C1=O,-6.89214646531062,-3.39129834095649,-3.72519620154606,-6.96622488462298,0.318360325221065,0.566911456180708
70,RFGGBSXIALKYIY-UHFFFAOYNA-N,CN1C(=O)C(=Cc2c(F)c(F)c(-c3ncnc(-c4nc5ccccc5o4)n3)c3nsnc23)C(=O)N(C)C1=O,-6.92341082765517,-3.58766552082303,-3.86730485550106,-6.96784263552975,0.480870081601737,0.704359190869242
71,GRNXARMHYUPWJD-UHFFFAOYNA-N,CN1C(=O)C(=C[Si]2(c3ccc(C(=O)c4cocc4-c4nccnn4)s3)C=C3OCCOC3=C2)C(=O)N(C)C1=O,-5.887307221001,-2.93893501727804,-3.42626067353194,-5.95939523835582,1.98318446978281,4.12104962432074
72,HZMZNQXYBRVDSW-UHFFFAOYNA-N,CN1C(=O)C(=Cc2cnc(-c3cocc3C(=O)c3ccc([SiH]4C=C5OCCOC5=C4)s3)nn2)C(=O)N(C)C1=O,-5.98744426807358,-3.40559167525137,-3.94968245703589,-6.05083499782795,3.78871212422161,6.08264672906829
73,CFUKPVIYHVOOON-UHFFFAOYNA-N,CN1C(=O)C(=Cc2c(F)c(F)c(-c3cc4c(=O)n(C)c(=O)c5ccc6c(=O)n(C)c(=O)c3c6c54)c(F)c2F)C(=O)N(C)C1=O,-7.14554433922129,-3.8912279835,-4.29136888911065,-7.09556799908722,0.479638392567071,1.06154533865833
74,CGLQASHVYFQBLK-UHFFFAOYNA-N,N#CC(C#N)=C1C(=CC=C2Nc3ccccc3S2)C(=O)c2ccccc21,-5.7446691789253,-3.01235210751235,-3.33988645970146,-5.73340981723445,3.26148579418064,5.63687462733885
75,RYUVBSOIKKNBQX-UHFFFAOYNA-N,CN1C(=CC=C2C(=O)c3ccccc3C2=C(C#N)C#N)C(C)(C)c2ccccc21,-5.69086210948245,-2.96604091050014,-3.31623462887029,-5.5732735039395,0,0
76,FGMCPXYMYBUFQA-UHFFFAOYNA-N,c1ncc(-c2ncnc(-c3cc4c(s3)-c3sc(C5COc6nsnc6O5)cc3C43SCCS3)n2)nn1,-5.95615630115934,-2.92934428444213,-3.38659831316113,-6.17409591053491,1.58607671189892,2.32346707096518
77,PFKFTWBEEFSNDU-UHFFFAOYNA-N,O=C(n1ccnc1)n1ccnc1,-7.14484417963894,-2.13423793486106,-2.55271066491734,-7.21358815201054,0,0
78,CTANTBURAAPLOK-UHFFFAOYNA-N,C=C1c2ccccc2N(C)C2C(=C(C#N)C#N)c3ccccc3N(C)C12,-5.68502491894058,-2.82621349087083,-3.23677922188144,-5.65199535581011,0,0
79,ZTEANCVESWDODK-UHFFFAOYNA-N,Cc1nc2csc(-c3ncnc([Si]4(C=C5C(=O)N(C)C(=O)N(C)C5=O)C=C5OCCOC5=C4)n3)c2nc1C,-5.71080695264299,-2.75298449314305,-3.26007281722853,-5.75087864423331,2.11350209836084,4.91994226269326
80,QXHKFBULOJYQOW-UHFFFAOYNA-N,Cc1nc2c(C=C3C(=O)N(C)C(=O)N(C)C3=O)sc(-c3ncnc([SiH]4C=C5OCCOC5=C4)n3)c2nc1C,-5.85057467630629,-3.483057216,-4.13066741302785,-5.95348767497458,5.43714902969372,7.81684288620131
81,VOCJIIFKJWXYBK-UHFFFAOYNA-N,CN1C(=O)C(=CC2=C3C(=O)N(C)C(c4cc5c(s4)-c4sccc4C54SCCS4)=C3C(=O)N2C)C(=O)N(C)C1=O,-5.3729754747649,-3.48303888859049,-4.03480973258861,-5.49530896000397,0,0
82,PAAVQRYWNSPJCL-UHFFFAOYNA-N,N#CC(C#N)=C1C(=CC=C2Nc3ccccc3O2)C(=O)c2ccccc21,-5.83352577835782,-2.95865892234431,-3.26407217613358,-5.83527967206636,2.35588156709502,4.20264703189958
83,UGMQLFRGELPKQX-UHFFFAOYNA-N,CN1C(=O)C(=Cc2cc3c(s2)-c2sc(-c4ncc(-c5nccnn5)cn4)cc2[Si]3(C)C)C(=O)N(C)C1=O,-5.8504476675,-3.2381547555,-3.75545500559967,-5.97283674205671,3.8724769445605,5.89114085960999
84,ZRCTULRACWILNQ-UHFFFAOYNA-N,CN1C(=O)C(=Cc2cnc(-c3cnc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)nc3)nn2)C(=O)N(C)C1=O,-5.659967976,-3.54250363201681,-4.12979113189565,-5.8237332802067,0,9.27283531791288
85,NZLUPZKLAGUFBD-UHFFFAOYNA-N,C=Cc1ccnc(-c2ncnc(-c3cc4c(C=C5C(=O)N(C)C(=O)N(C)C5=O)c5c(F)c(F)sc5nc4s3)n2)n1,-6.34918199449062,-3.38546381437626,-3.65813842285062,-6.42721421230035,1.51517599095356,2.04924523695321
86,GIRSSICXCAOTEM-UHFFFAOYNA-N,CN1C(=O)C(=CC=Cc2ccnc(-c3ncnc(-c4cc5cc6c(F)c(F)sc6nc5s4)n3)n2)C(=O)N(C)C1=O,-6.27586704277079,-3.62872083918844,-3.99540992514288,-6.38878305468831,2.83861637482928,3.56518362889391
87,YHDJAKQGHGYRAH-UHFFFAOYNA-N,CN1C(=O)C(=Cc2ccc3nc(-c4ncnc(-c5ccsc5C(=O)c5ccoc5)n4)oc3c2)C(=O)N(C)C1=O,-6.7885466883614,-3.37039662104036,-3.86153916274244,-6.85104194868697,0.417133906352334,1.00831031229638
88,NTCBZEWLNNPVSO-UHFFFAOYNA-N,CN1C(=O)C(=Cc2cocc2C(=O)c2sccc2-c2ncnc(-c3nc4ccccc4o3)n2)C(=O)N(C)C1=O,-6.79647794122289,-2.81244187780279,-3.28345767516179,-6.85912857792392,0.007175557219662,0.253619112438942
89,KNTAVHKBHJYYIV-UHFFFAOYNA-N,CN1C(=CC=C2C(=O)c3ccccc3C2=C(C#N)C#N)Sc2ccccc21,-5.63291174586443,-2.90534459011646,-3.32256770649499,-5.56141913010852,0,0
90,KPVHULBIVMESEG-UHFFFAOYNA-N,CN1C(=O)C(=Cc2cnc(-c3c(-c4cocc4C(=O)c4cccs4)sc4ccc(C#N)cc34)nn2)C(=O)N(C)C1=O,-6.48746610588456,-3.5743786585333,-4.03712491133737,-6.60964815668822,1.53609516319776,2.40485139031919
91,LXFRUMMWIHFHKI-UHFFFAOYNA-N,CN1C(=O)C(=Cc2ccsc2C(=O)c2cocc2-c2sc3ccc(C#N)cc3c2-c2nccnn2)C(=O)N(C)C1=O,-6.44239952624843,-3.15460322537945,-3.54907634686875,-6.53509436868165,0.704941559649004,1.29001643544182
92,CFUMYBDSXXJVNW-UHFFFAOYNA-N,Cn1c(=O)c2c(-c3cccs3)c3c4cccc5cccc(c3c(-c3cccs3)c2c1=O)c54,-6.204195666,-2.775561219,-3.02563442163359,-6.09897541250588,0.544042135588449,1.31808502581389
